0.000000,0.000000, 0.000000
0.859032,0.858361, 0.003492
0.856095,0.858303, 0.003408
1.712150,1.717020, 0.006823
1.712649,1.717277, 0.006835
2.567209,2.577080, 0.010207
2.565767,2.578366, 0.010169
3.419226,3.439112, 0.013503
3.419136,3.439204, 0.013503
4.271189,4.301201, 0.016798
4.270166,4.302119, 0.016759
5.121634,5.164614, 0.020017
5.121508,5.164760, 0.020016
5.971997,6.028205, 0.023235
5.971453,6.028735, 0.023197
6.821833,6.892280, 0.026378
6.821683,6.892428, 0.026377
7.671504,7.756518, 0.029519
7.671370,7.756642, 0.029479
8.521438,8.620479, 0.032582
8.521299,8.620617, 0.032582
9.371205,9.484607, 0.035644
9.371410,9.484397, 0.035604
10.221815,10.347885, 0.038629
10.221701,10.347998, 0.038628
11.072278,11.211310, 0.041612
11.072727,11.210859, 0.041572
11.923949,12.073527, 0.044518
11.923867,12.073608, 0.044517
12.775505,12.935858, 0.047423
12.776101,12.935263, 0.047384
13.628437,13.796819, 0.050254
13.628388,13.796867, 0.050253
14.481290,14.657858, 0.053083
14.481944,14.657206, 0.053046
15.335521,15.517527, 0.055843
15.335502,15.517545, 0.055842
16.189711,16.377237, 0.058601
16.190352,16.376600, 0.058567
17.045162,17.235697, 0.061295
17.045167,17.235691, 0.061294
17.900603,18.094166, 0.063988
17.901181,18.093593, 0.063956
18.757116,18.951577, 0.066622
18.757137,18.951555, 0.066621
19.613642,19.808974, 0.069255
19.614127,19.808494, 0.069227
20.471018,20.665534, 0.071837
20.471049,20.665503, 0.071835
21.328422,21.522066, 0.074417
21.328803,21.521691, 0.074392
22.186453,22.377983, 0.076952
22.186488,22.377948, 0.076951
23.044521,23.233865, 0.079486
23.044800,23.233592, 0.079464
23.903015,24.089332, 0.081981
23.903049,24.089298, 0.081980
24.761547,24.944761, 0.084475
24.761735,24.944579, 0.084457
25.620340,25.799941, 0.086937
25.620369,25.799912, 0.086936
26.479167,26.655086, 0.089398
26.479281,26.654977, 0.089383
27.338130,27.510106, 0.091832
27.338153,27.510082, 0.091832
28.197121,28.365096, 0.094266
28.197180,28.365041, 0.094253
29.056161,29.220047, 0.096677
29.056178,29.220029, 0.096677
29.915222,30.074974, 0.099088
29.915242,30.074957, 0.099079
30.774278,30.929915, 0.101482
30.774289,30.929903, 0.101482
31.633348,31.784839, 0.103876
31.633344,31.784844, 0.103868
32.492385,32.639802, 0.106257
32.492391,32.639795, 0.106256
33.351429,33.494755, 0.108637
33.351413,33.494772, 0.108632
34.210430,34.349756, 0.111008
34.210432,34.349752, 0.111008
35.069433,35.204751, 0.113380
35.069412,35.204771, 0.113376
35.928393,36.059791, 0.115745
35.928393,36.059790, 0.115745
36.787352,36.914829, 0.118111
36.787331,36.914849, 0.118109
37.646272,37.769906, 0.120475
37.646270,37.769906, 0.120475
38.505188,38.624983, 0.122838
38.505168,38.625001, 0.122838
39.364070,39.480093, 0.125203
39.364068,39.480094, 0.125203
40.222947,40.335204, 0.127568
40.222928,40.335220, 0.127569
41.081791,41.190344, 0.129936
41.081789,41.190345, 0.129936
41.940631,42.045486, 0.132304
41.940611,42.045501, 0.132307
42.799434,42.900658, 0.134679
42.799433,42.900658, 0.134679
43.658234,43.755831, 0.137054
43.658212,43.755847, 0.137058
44.516990,44.611039, 0.139437
44.516989,44.611038, 0.139437
45.375744,45.466247, 0.141821
45.375718,45.466266, 0.141826
46.234444,46.321499, 0.144215
46.234444,46.321498, 0.144215
47.093143,47.176751, 0.146610
47.093112,47.176775, 0.146616
47.951776,48.032058, 0.149017
47.951776,48.032056, 0.149017
48.810408,48.887363, 0.151424
48.810370,48.887393, 0.151431
49.668961,49.742736, 0.153845
49.668962,49.742734, 0.153845
50.527514,50.598107, 0.156266
50.527470,50.598143, 0.156273
51.385975,51.453557, 0.158702
51.385976,51.453555, 0.158702
52.244436,52.309005, 0.161139
52.244387,52.309046, 0.161147
53.102794,53.164543, 0.163591
53.102795,53.164541, 0.163591
53.961153,54.020079, 0.166044
53.961098,54.020125, 0.166052
54.819399,54.875714, 0.168513
54.819400,54.875712, 0.168513
55.677646,55.731346, 0.170982
55.677587,55.731396, 0.170991
56.535774,56.587084, 0.173469
56.555799,56.605705, 0.172244
57.428061,57.561431, 0.171203
57.263699,57.601584, 0.175003
58.200453,58.385117, 0.176432
58.142368,58.476192, 0.175913
58.932258,59.395721, 0.178109
58.940691,59.387604, 0.177866
59.741873,60.296110, 0.179871
59.740507,60.297494, 0.179855
60.549339,61.198671, 0.181618
60.559485,61.188801, 0.181424
61.379126,62.079403, 0.183065
61.378590,62.079955, 0.183041
62.207798,62.961269, 0.184485
62.217768,62.951541, 0.184358
63.056034,63.824005, 0.185752
63.056128,63.823924, 0.185725
63.903995,64.687031, 0.186987
63.912525,64.678713, 0.186929
64.767050,65.535342, 0.188202
64.767562,65.534842, 0.188177
65.630439,66.383335, 0.189386
65.636848,66.377111, 0.189390
66.503845,67.221641, 0.190658
66.504578,67.220919, 0.190637
67.377958,68.059254, 0.191903
67.382051,68.055323, 0.191955
68.257240,68.891987, 0.193310
68.258030,68.891206, 0.193295
69.137394,69.723860, 0.194697
69.139331,69.722065, 0.194781
70.018639,70.554895, 0.196285
70.019369,70.554173, 0.196277
70.900759,71.385065, 0.197861
70.900923,71.385024, 0.197960
71.780939,72.217393, 0.199645
71.781534,72.216805, 0.199643
72.661885,73.048965, 0.201426
72.660764,73.050191, 0.201526
73.538966,73.884589, 0.203398
73.539393,73.884168, 0.203401
74.416641,74.719626, 0.205372
74.414738,74.721620, 0.205463
